Customer_ID,Outlet_ID,Customer_Name,Gender,City,Membership_Type,Join_Date,Customer_Status,Unused_Flag
CUST_0,OUT_064,Sneha Iyer,F,Hyderabad,Gold,2025-11-23,Repeat,DELETE_ME
CUST_1,OUT_040,Rohan Singh,M,Hyderabad,Platinum,2025-09-15,Lapsed,DELETE_ME
CUST_2,OUT_097,Arjun Deshmukh,M,Bangalore,Gold,2025-01-27,Lapsed,DELETE_ME
CUST_3,OUT_049,Vikram Sharma,M,Mumbai,Platinum,2025-07-01,Lapsed,DELETE_ME
CUST_4,OUT_050,Rahul Iyer,F,Delhi,Platinum,2025-06-30,Lapsed,DELETE_ME
CUST_5,OUT_073,Sneha Reddy,M,Bangalore,Platinum,2025-07-07,Repeat,DELETE_ME
CUST_6,OUT_018,Rahul Deshmukh,M,Pune,Silver,2025-06-16,Lapsed,DELETE_ME
CUST_7,OUT_054,Arjun Reddy,M,Pune,Gold,2025-02-10,Repeat,DELETE_ME
CUST_8,OUT_076,Pooja Kumar,M,Hyderabad,Gold,2025-07-19,Repeat,DELETE_ME
CUST_9,OUT_094,Anjali Verma,F,Hyderabad,Silver,2025-03-21,Repeat,DELETE_ME
CUST_10,OUT_063,Megha Reddy,F,Delhi,Gold,2025-12-10,New,DELETE_ME
CUST_11,OUT_089,Rahul Sharma,F,Bangalore,Silver,2025-06-11,Repeat,DELETE_ME
CUST_12,OUT_018,Arjun Gupta,F,Delhi,Platinum,2025-11-15,New,DELETE_ME
CUST_13,OUT_045,Anjali Iyer,M,Pune,Silver,2025-10-31,Repeat,DELETE_ME
CUST_14,OUT_032,Rohan Reddy,F,Hyderabad,Silver,2025-07-05,Lapsed,DELETE_ME
CUST_15,OUT_028,Amit Gupta,F,Pune,Platinum,2025-07-23,Repeat,DELETE_ME
CUST_16,OUT_037,Rohan Verma,M,Delhi,Platinum,2025-02-25,Repeat,DELETE_ME
CUST_17,OUT_007,Pooja Deshmukh,M,Delhi,Silver,2025-09-02,Repeat,DELETE_ME
CUST_18,OUT_035,Anjali Joshi,F,Delhi,Gold,2025-08-28,Repeat,DELETE_ME
CUST_19,OUT_018,Vikram Kumar,F,Delhi,Gold,2025-11-30,New,DELETE_ME
CUST_20,OUT_023,Megha Kumar,M,Bangalore,Platinum,2025-10-07,Repeat,DELETE_ME
CUST_21,OUT_014,Anjali Gupta,M,Hyderabad,Gold,2025-07-01,Repeat,DELETE_ME
CUST_22,OUT_020,Rohan Joshi,M,Delhi,Gold,2025-07-22,Repeat,DELETE_ME
CUST_23,OUT_039,Priya Deshmukh,M,Hyderabad,Gold,2025-12-07,New,DELETE_ME
CUST_24,OUT_006,Sneha Sharma,F,Bangalore,Platinum,2025-04-15,Lapsed,DELETE_ME
CUST_25,OUT_009,Pooja Singh,M,Delhi,Platinum,2025-07-21,Lapsed,DELETE_ME
CUST_26,OUT_042,Pooja Deshmukh,F,Hyderabad,Gold,2025-01-28,Repeat,DELETE_ME
CUST_27,OUT_013,Sneha Kumar,F,Mumbai,Platinum,2025-10-22,Repeat,DELETE_ME
CUST_28,OUT_027,Rahul Verma,F,Hyderabad,Gold,2025-08-03,Lapsed,DELETE_ME
CUST_29,OUT_069,Rahul Joshi,M,Pune,Silver,2025-01-27,Lapsed,DELETE_ME
CUST_30,OUT_062,Anjali Joshi,M,Pune,Silver,2025-09-05,New,DELETE_ME
CUST_31,OUT_037,Rohan Reddy,F,Pune,Gold,2025-10-02,Repeat,DELETE_ME
CUST_32,OUT_084,Megha Joshi,M,Delhi,Platinum,2025-12-10,Lapsed,DELETE_ME
CUST_33,OUT_062,Vikram Joshi,M,Pune,Gold,2025-08-18,Lapsed,DELETE_ME
CUST_34,OUT_020,Pooja Sharma,F,Bangalore,Silver,2025-02-08,Repeat,DELETE_ME
CUST_35,OUT_051,Sneha Sharma,F,Mumbai,Gold,2025-05-19,Lapsed,DELETE_ME
CUST_36,OUT_038,Amit Iyer,M,Delhi,Gold,2025-08-25,New,DELETE_ME
CUST_37,OUT_053,Rahul Singh,M,Mumbai,Gold,2025-09-19,New,DELETE_ME
CUST_38,OUT_074,Rohan Verma,M,Mumbai,Silver,2025-03-07,Lapsed,DELETE_ME
CUST_39,OUT_064,Rahul Reddy,F,Bangalore,Silver,2025-04-03,Repeat,DELETE_ME
CUST_40,OUT_023,Sneha Reddy,F,Hyderabad,Silver,2025-03-02,Repeat,DELETE_ME
CUST_41,OUT_023,Rahul Joshi,M,Delhi,Silver,2025-02-19,Repeat,DELETE_ME
CUST_42,OUT_077,Amit Deshmukh,F,Delhi,Gold,2025-06-28,New,DELETE_ME
CUST_43,OUT_095,Rohan Reddy,F,Hyderabad,Platinum,2025-02-09,New,DELETE_ME
CUST_44,OUT_038,Rohan Iyer,F,Hyderabad,Silver,2025-12-19,New,DELETE_ME
CUST_45,OUT_014,Sneha Iyer,M,Delhi,Gold,2025-04-19,Repeat,DELETE_ME
CUST_46,OUT_060,Arjun Verma,F,Mumbai,Platinum,2025-10-31,New,DELETE_ME
CUST_47,OUT_093,Arjun Patel,F,Pune,Silver,2025-06-13,Lapsed,DELETE_ME
CUST_48,OUT_043,Rahul Verma,M,Delhi,Silver,2025-09-11,Lapsed,DELETE_ME
CUST_49,OUT_091,Megha Gupta,M,Pune,Gold,2025-01-20,Repeat,DELETE_ME
CUST_50,OUT_063,Pooja Gupta,F,Bangalore,Silver,2025-04-23,New,DELETE_ME
CUST_51,OUT_083,Sneha Iyer,F,Pune,Silver,2025-03-20,Lapsed,DELETE_ME
CUST_52,OUT_040,Amit Sharma,M,Mumbai,Platinum,2025-09-20,Lapsed,DELETE_ME
CUST_53,OUT_089,Vikram Reddy,M,Hyderabad,Gold,2025-12-25,Lapsed,DELETE_ME
CUST_54,OUT_082,Anjali Singh,F,Pune,Platinum,2025-04-03,Repeat,DELETE_ME
CUST_55,OUT_076,Pooja Sharma,F,Mumbai,Gold,2025-11-16,New,DELETE_ME
CUST_56,OUT_070,Pooja Singh,M,Mumbai,Platinum,2025-11-21,New,DELETE_ME
CUST_57,OUT_092,Amit Joshi,F,Bangalore,Silver,2025-08-18,Lapsed,DELETE_ME
CUST_58,OUT_030,Rohan Deshmukh,F,Bangalore,Gold,2025-10-14,Lapsed,DELETE_ME
CUST_59,OUT_080,Priya Singh,F,Bangalore,Gold,2025-12-28,Repeat,DELETE_ME
CUST_60,OUT_083,Sneha Gupta,M,Hyderabad,Platinum,2025-08-24,Repeat,DELETE_ME
CUST_61,OUT_029,Anjali Joshi,F,Hyderabad,Platinum,2025-08-06,New,DELETE_ME
CUST_62,OUT_009,Arjun Gupta,F,Pune,Platinum,2025-11-30,Lapsed,DELETE_ME
CUST_63,OUT_068,Rahul Joshi,F,Pune,Platinum,2025-10-20,Lapsed,DELETE_ME
CUST_64,OUT_057,Priya Patel,F,Hyderabad,Platinum,2025-10-01,Lapsed,DELETE_ME
CUST_65,OUT_051,Anjali Gupta,F,Pune,Gold,2025-05-19,New,DELETE_ME
CUST_66,OUT_043,Sneha Reddy,M,Hyderabad,Platinum,2025-04-10,Repeat,DELETE_ME
CUST_67,OUT_071,Vikram Sharma,M,Pune,Silver,2025-10-11,Lapsed,DELETE_ME
CUST_68,OUT_080,Sneha Reddy,F,Bangalore,Gold,2025-09-05,Lapsed,DELETE_ME
CUST_69,OUT_017,Rohan Joshi,F,Delhi,Platinum,2025-03-27,Lapsed,DELETE_ME
CUST_70,OUT_052,Rohan Joshi,M,Mumbai,Platinum,2025-02-16,New,DELETE_ME
CUST_71,OUT_092,Rohan Reddy,F,Mumbai,Silver,2025-11-05,Lapsed,DELETE_ME
CUST_72,OUT_089,Rahul Joshi,F,Pune,Platinum,2025-10-05,Lapsed,DELETE_ME
CUST_73,OUT_050,Sneha Sharma,F,Mumbai,Gold,2025-07-21,New,DELETE_ME
CUST_74,OUT_008,Rohan Sharma,M,Delhi,Silver,2025-05-02,Lapsed,DELETE_ME
CUST_75,OUT_071,Priya Sharma,F,Bangalore,Silver,2025-03-31,Repeat,DELETE_ME
CUST_76,OUT_084,Arjun Sharma,M,Delhi,Silver,2025-02-07,New,DELETE_ME
CUST_77,OUT_068,Arjun Kumar,M,Hyderabad,Platinum,2025-11-09,Lapsed,DELETE_ME
CUST_78,OUT_098,Vikram Patel,F,Bangalore,Gold,2025-03-24,New,DELETE_ME
CUST_79,OUT_052,Megha Iyer,F,Delhi,Gold,2025-07-17,New,DELETE_ME
CUST_80,OUT_070,Amit Singh,M,Hyderabad,Gold,2025-04-27,Repeat,DELETE_ME
CUST_81,OUT_043,Sneha Reddy,F,Pune,Silver,2025-08-01,New,DELETE_ME
CUST_82,OUT_081,Pooja Deshmukh,M,Bangalore,Gold,2025-01-03,Repeat,DELETE_ME
CUST_83,OUT_015,Rahul Joshi,F,Hyderabad,Silver,2025-02-25,New,DELETE_ME
CUST_84,OUT_063,Amit Gupta,M,Bangalore,Platinum,2025-09-21,Repeat,DELETE_ME
CUST_85,OUT_030,Priya Patel,F,Delhi,Platinum,2025-04-29,Lapsed,DELETE_ME
CUST_86,OUT_032,Priya Reddy,M,Mumbai,Gold,2025-03-28,Lapsed,DELETE_ME
CUST_87,OUT_092,Sneha Singh,M,Mumbai,Silver,2025-10-11,Lapsed,DELETE_ME
CUST_88,OUT_087,Priya Gupta,F,Bangalore,Platinum,2025-11-01,New,DELETE_ME
CUST_89,OUT_077,Priya Joshi,M,Delhi,Platinum,2025-02-19,New,DELETE_ME
CUST_90,OUT_017,Rohan Patel,M,Delhi,Platinum,2025-09-11,New,DELETE_ME
CUST_91,OUT_029,Vikram Patel,F,Pune,Gold,2025-11-20,Lapsed,DELETE_ME
CUST_92,OUT_081,Megha Reddy,M,Pune,Platinum,2025-10-29,New,DELETE_ME
CUST_93,OUT_069,Rahul Iyer,M,Bangalore,Gold,2025-03-19,New,DELETE_ME
CUST_94,OUT_070,Rahul Joshi,M,Hyderabad,Gold,2025-11-08,Lapsed,DELETE_ME
CUST_95,OUT_071,Arjun Patel,M,Hyderabad,Platinum,2025-11-29,New,DELETE_ME
CUST_96,OUT_062,Arjun Sharma,M,Bangalore,Platinum,2025-02-28,Lapsed,DELETE_ME
CUST_97,OUT_093,Pooja Kumar,M,Pune,Gold,2025-05-19,New,DELETE_ME
CUST_98,OUT_081,Vikram Kumar,M,Delhi,Gold,2025-12-12,Lapsed,DELETE_ME
CUST_99,OUT_028,Rohan Joshi,M,Bangalore,Gold,2025-07-07,New,DELETE_ME
CUST_100,OUT_046,Amit Patel,M,Delhi,Silver,2025-05-24,Repeat,DELETE_ME
CUST_101,OUT_054,Vikram Gupta,F,Hyderabad,Gold,2025-03-15,Lapsed,DELETE_ME
CUST_102,OUT_044,Rahul Joshi,M,Bangalore,Silver,2025-12-22,New,DELETE_ME
CUST_103,OUT_082,Megha Sharma,F,Mumbai,Platinum,2025-11-22,Repeat,DELETE_ME
CUST_104,OUT_069,Vikram Singh,M,Hyderabad,Platinum,2025-02-16,New,DELETE_ME
CUST_105,OUT_093,Pooja Deshmukh,M,Pune,Gold,2025-03-10,New,DELETE_ME
CUST_106,OUT_036,Vikram Verma,F,Pune,Silver,2025-04-07,New,DELETE_ME
CUST_107,OUT_060,Rohan Deshmukh,F,Bangalore,Platinum,2025-04-23,New,DELETE_ME
CUST_108,OUT_042,Arjun Iyer,F,Bangalore,Platinum,2025-06-11,New,DELETE_ME
CUST_109,OUT_045,Pooja Gupta,F,Hyderabad,Silver,2025-07-10,Lapsed,DELETE_ME
CUST_110,OUT_065,Pooja Iyer,F,Delhi,Silver,2025-12-26,Repeat,DELETE_ME
CUST_111,OUT_074,Amit Patel,F,Hyderabad,Silver,2025-02-28,Repeat,DELETE_ME
CUST_112,OUT_038,Vikram Gupta,M,Pune,Silver,2025-02-10,Lapsed,DELETE_ME
CUST_113,OUT_038,Priya Reddy,F,Delhi,Platinum,2025-01-23,Repeat,DELETE_ME
CUST_114,OUT_100,Priya Kumar,F,Bangalore,Gold,2025-09-21,Repeat,DELETE_ME
CUST_115,OUT_011,Rahul Singh,F,Hyderabad,Gold,2025-07-13,Repeat,DELETE_ME
CUST_116,OUT_021,Amit Joshi,M,Hyderabad,Silver,2025-02-12,Lapsed,DELETE_ME
CUST_117,OUT_056,Anjali Gupta,M,Pune,Silver,2025-07-11,New,DELETE_ME
CUST_118,OUT_057,Rohan Iyer,M,Delhi,Gold,2025-02-01,New,DELETE_ME
CUST_119,OUT_081,Anjali Verma,F,Hyderabad,Platinum,2025-11-07,Repeat,DELETE_ME
CUST_120,OUT_068,Arjun Singh,M,Mumbai,Silver,2025-02-20,Repeat,DELETE_ME
CUST_121,OUT_040,Megha Reddy,F,Bangalore,Platinum,2025-02-09,Repeat,DELETE_ME
CUST_122,OUT_005,Sneha Deshmukh,M,Mumbai,Silver,2025-09-05,New,DELETE_ME
CUST_123,OUT_093,Vikram Iyer,M,Delhi,Silver,2025-11-14,Lapsed,DELETE_ME
CUST_124,OUT_045,Rohan Kumar,M,Bangalore,Gold,2025-02-02,New,DELETE_ME
CUST_125,OUT_081,Priya Singh,F,Mumbai,Silver,2025-04-19,New,DELETE_ME
CUST_126,OUT_008,Sneha Verma,F,Hyderabad,Silver,2025-06-09,Lapsed,DELETE_ME
CUST_127,OUT_055,Megha Verma,M,Pune,Platinum,2025-07-16,Repeat,DELETE_ME
CUST_128,OUT_031,Rahul Iyer,M,Delhi,Gold,2025-04-06,Repeat,DELETE_ME
CUST_129,OUT_029,Rohan Gupta,M,Bangalore,Platinum,2025-05-22,New,DELETE_ME
CUST_130,OUT_074,Sneha Verma,F,Mumbai,Platinum,2025-06-02,New,DELETE_ME
CUST_131,OUT_006,Rahul Patel,M,Hyderabad,Gold,2025-06-10,New,DELETE_ME
CUST_132,OUT_093,Amit Sharma,F,Pune,Gold,2025-12-20,Repeat,DELETE_ME
